area,price,num_of_stories,num_of_bedrooms,num_of_toilets
106.0,3.9,3.0,3.0,4.0
92.0,6.0,1.0,3.0,2.0
75.0,3.05,1.0,3.0,3.0
50.4,3.6,3.0,3.0,3.0
125.0,4.65,2.0,3.0,2.0
90.0,3.39,2.0,3.0,3.0
100.0,4.5,2.0,3.0,2.0
100.0,8.0,3.0,4.0,4.0
70.0,7.0,3.0,3.0,3.0
66.0,2.65,2.0,2.0,2.0
100.0,6.2,2.0,2.0,2.0
70.0,8.5,2.0,3.0,2.0
100.0,5.5,3.0,3.0,3.0
100.0,8.0,3.0,3.0,4.0
85.3,14.2,3.0,4.0,4.0
95.0,7.7,3.0,3.0,3.0
76.0,7.25,4.0,5.0,5.0
100.0,6.6,3.0,4.0,3.0
