price,area,road_width,floors,bedroom,loc,garage
": 6,45 tỷ","85 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Bàu Năng 8, Phường Hòa Minh, Quận Liên Chiểu,",chỗ để xe
": 4,19 tỷ","98 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Hoàng Minh Giám, Phường Hòa Xuân, Quận Cẩm Lệ,",chỗ để xe
": 6,5 tỷ","100 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Dương Vân Nga, Phường Nại Hiên Đông, Quận Sơn Trà,",chỗ để xe
": 15,5 tỷ","184 m
2","7,5m",1 lầu,4 phòng ngủ,"Đường Nguyễn Duy Hiệu, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 6,999 tỷ","107 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Phạm Ngọc Mậu, Phường An Khê, Quận Thanh Khê,",chỗ để xe
": 5,5 tỷ","90 m
2","7,5m",2 lầu,2 phòng ngủ,"Đường Doãn Uẩn, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",chỗ để xe
": 4,1 tỷ","75 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Đội Cung, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 6,5 tỷ","80 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Tiên Sơn, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 4,3 tỷ","100 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Hồ Tỵ, Phường Hòa Xuân, Quận Cẩm Lệ,",chỗ để xe
": 6,8 tỷ","100 m
2",20m,3 lầu,4 phòng ngủ,"Đường Lương Định Của, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 11,5 tỷ","100 m
2",10m,6 lầu,11 phòng ngủ,"Đường Văn Tiến Dũng, Phường Hòa Xuân, Quận Cẩm Lệ,",chỗ để xe
: 8 tỷ,"46 m
2","7,5m",4 lầu,4 phòng ngủ,"Đường Nguyễn Hoàng, Phường Hải Châu II, Quận Hải Châu,",chỗ để xe
": 5,3 tỷ","55 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Nguyễn Đình, Phường Phước Mỹ, Quận Sơn Trà,",0
": 9,9 tỷ","120 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Phạm Vấn, Phường Mân Thái, Quận Sơn Trà,",chỗ để xe
: 40 tỷ,"481 m
2","5,5m",2 lầu,4 phòng ngủ,"Đường Pasteur, Phường Hải Châu I, Quận Hải Châu,",chỗ để xe
": 7,5 tỷ","90 m
2","5,5m",4 lầu,4 phòng ngủ,"Đường Mỹ An, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 9,9 tỷ","96 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Đặng Tử Kính, Phường Thạch Thang, Quận Hải Châu,",chỗ để xe
": 5,7 tỷ","100 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Đỗ Thúc Tịnh, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 4,7 tỷ","85 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Bình Hòa, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 6,9 tỷ","80 m
2","5,5m",4 lầu,8 phòng ngủ,"Đường Hồ Biểu Chánh, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 5,2 tỷ","116 m
2",10m,2 lầu,3 phòng ngủ,"Đường Trần Văn Trà, Phường Hòa Xuân, Quận Cẩm Lệ,",chỗ để xe
": 2,9 tỷ","60 m
2",6m,2 lầu,2 phòng ngủ,"Đường Bình Thái 4, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",chỗ để xe
": 5,6 tỷ","70 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Trần Huy Liệu, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 14,3 tỷ","676 m
2","5,5m",3 lầu,4 phòng ngủ,"Đường Bình Hòa, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 11,8 tỷ","120 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Trần Văn Dư, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
: 12 tỷ,"85 m
2",35m,3 lầu,4 phòng ngủ,"Đường Nguyễn Hữu Thọ, Quận Hải Châu,",chỗ để xe
": 2,85 tỷ","40 m
2",3m,2 lầu,2 phòng ngủ,"Đường Nguyễn Tri Phương, Phường Thạc Gián, Quận Thanh Khê,",chỗ để xe
": 4,8 tỷ","55 m
2",6m,4 lầu,4 phòng ngủ,"Đường Tống Phước Phổ, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 6,3 tỷ","77 m
2",7m,3 lầu,3 phòng ngủ,"Đường Nguyễn Tri Phương, Phường Thạc Gián, Quận Thanh Khê,",chỗ để xe
": 3,85 tỷ","45 m
2",6m,3 lầu,3 phòng ngủ,"Đường Bình An 7, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 9,5 tỷ","90 m
2","5,5m",4 lầu,14 phòng ngủ,"Đường Hà Huy Giáp, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 4,55 tỷ","74 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Bàu Tràm 2, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 8,7 tỷ","85 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Hà Đặc, Phường Phước Mỹ, Quận Sơn Trà,",chỗ để xe
": 4,3 tỷ","85 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Nguyễn Lai, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 5,6 tỷ","85 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Lương Văn Can, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 5,65 tỷ","125 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Phạm Sư Mạnh, Phường Hòa Xuân, Quận Cẩm Lệ,",chỗ để xe
": 3,85 tỷ","90 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Đồng Trí 3, Phường Hòa Khánh Nam, Quận Liên Chiểu,",chỗ để xe
": 4,35 tỷ","90 m
2","5,5m",3 lầu,4 phòng ngủ,"Đường Đồng Trí 3, Phường Hòa Hiệp Nam, Quận Liên Chiểu,",chỗ để xe
": 26,3 tỷ","90 m
2","7,5m",8 lầu,14 phòng ngủ,"Đường An Thượng 3, Quận Ngũ Hành Sơn,",chỗ để xe
": 3,85 tỷ","45 m
2",3m,4 lầu,3 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,",0
": 4,8 tỷ","90 m
2",5m,1 lầu,2 phòng ngủ,"Đường Nguyễn Duy Hiệu, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
: 3 tỷ,"70 m
2",3m,3 lầu,3 phòng ngủ,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê,",chỗ để xe
": 3,4 tỷ","56 m
2",3m,2 lầu,3 phòng ngủ,"Đường Đỗ Quang, Phường Vĩnh Trung, Quận Thanh Khê,",chỗ để xe
": 3,8 tỷ","50 m
2",4m,3 lầu,2 phòng ngủ,"Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu,",0
": 5,2 tỷ","71 m
2",5m,4 lầu,9 phòng ngủ,"Đường Phạm Văn Nghị, Phường Vĩnh Trung, Quận Thanh Khê,",chỗ để xe
": 3,45 tỷ","43 m
2",3m,3 lầu,3 phòng ngủ,"Đường Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu,",0
": 5,9 tỷ","65 m
2",6m,3 lầu,3 phòng ngủ,"Đường An Đồn, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 4,25 tỷ","80 m
2",3m,3 lầu,3 phòng ngủ,"Đường Phan Châu Trinh, Phường Bình Thuận, Quận Hải Châu,",chỗ để xe
": 6,9 tỷ","85 m
2","5,5m",4 lầu,7 phòng ngủ,"Đường Mạc Thị bưởi, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 12,5 tỷ","90 m
2","5,5m",5 lầu,14 phòng ngủ,"Đường Trần Tấn Mới, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 6,5 tỷ","82 m
2","5,5m",3 lầu,5 phòng ngủ,"Đường Ngọc Hân, Phường An Hải Tây, Quận Sơn Trà,",chỗ để xe
": 8,3 tỷ","95 m
2","7,5m",5 lầu,9 phòng ngủ,"Đường Trịnh Lỗi, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 4,85 tỷ","85 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Lương Văn Can, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 13,5 tỷ","100 m
2",30m,7 lầu,15 phòng ngủ,"Đường Diên Hồng, Phường Hòa Xuân, Quận Cẩm Lệ,",chỗ để xe
": 6,3 tỷ","100 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Nguyễn Mậu Tài, Phường Hòa Xuân, Quận Cẩm Lệ,",chỗ để xe
": 5,99 tỷ","70 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Phan Trọng Tuệ, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 5,15 tỷ","70 m
2",5m,2 lầu,3 phòng ngủ,"Đường Hóa Quê Trung 3, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 10,2 tỷ","90 m
2","5,5m",6 lầu,16 phòng ngủ,"Đường Huy Cận, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 4,3 tỷ","80 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Trương Quang Giao, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 4,8 tỷ","90 m
2",5m,1 lầu,2 phòng ngủ,"Đường Nguyễn Duy Hiệu, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 4,25 tỷ","80 m
2",3m,3 lầu,3 phòng ngủ,"Đường Phan Châu Trinh, Phường Bình Thuận, Quận Hải Châu,",chỗ để xe
: 3 tỷ,"70 m
2",3m,3 lầu,3 phòng ngủ,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê,",chỗ để xe
": 4,4 tỷ","55 m
2","4,5m",3 lầu,3 phòng ngủ,"Đường Nguyễn Công Trứ, Phường An Hải Tây, Quận Sơn Trà,",chỗ để xe
": 4,3 tỷ","80 m
2",4m,1 lầu,2 phòng ngủ,"Đường Lương Thế Vinh, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 3,85 tỷ","106 m
2",4m,2 lầu,3 phòng ngủ,"Đường Lương Thế Vinh, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 3,8 tỷ","50 m
2",4m,3 lầu,2 phòng ngủ,"Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu,",0
": 3,4 tỷ","56 m
2",3m,2 lầu,3 phòng ngủ,"Đường Đỗ Quang, Phường Vĩnh Trung, Quận Thanh Khê,",chỗ để xe
