price,area,road_width,floors,bedroom,loc,garage
": 6,3 tỷ","95 m
2",7m5m,3 lầu,3 phòng ngủ,"Đường Tuy Lý Vương, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
: 8 tỷ,"141 m
2",7m5m,1 lầu,3 phòng ngủ,"Đường Đa Phước 8, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
: 6 tỷ,"90 m
2",7m5m,3 lầu,3 phòng ngủ,"Đường Anh Thơ, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
": 6,8 tỷ","113 m
2",7m5m,2 lầu,5 phòng ngủ,"Đường Vũ Mộng Nguyên, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
": 5,5 tỷ","95 m
2",7m5m,2 lầu,3 phòng ngủ,"Đường Tùng Thiện Vương, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
": 2,59 tỷ","52 m
2",4m,2 lầu,3 phòng ngủ,"Đường Thái Thị Bôi, Phường Xuân Hà, Quận Thanh Khê,",0
": 2,55 tỷ","90 m
2",5m5m,1 lầu,2 phòng ngủ,"Đường Gia Tròn 2, Phường Hòa Hiệp Nam, Quận Liên Chiểu,",chỗ để xe
": 2,17 tỷ","106 m
2","2,5m",1 lầu,2 phòng ngủ,"Đường Nguyễn Chánh, Phường Hòa Khánh Bắc, Quận Liên Chiểu,",0
": 1,37 tỷ","115 m
2",4m,1 lầu,2 phòng ngủ,"Đường Nguyễn Phước Chu, Phường Hòa Hiệp Bắc, Quận Liên Chiểu,",0
: 2 tỷ,"87 m
2","2,5m",1 lầu,2 phòng ngủ,"Đường Đồng Kè, Phường Hòa Khánh Bắc, Quận Liên Chiểu,",0
": 3,8 tỷ","112 m
2",7m5m,2 lầu,3 phòng ngủ,"Đường Hòa An 25, Phường Hòa An, Quận Cẩm Lệ,",chỗ để xe
": 2,58 tỷ","47 m
2",2m,1 lầu,3 phòng ngủ,"Đường Lê Duẩn, Phường Tân Chính, Quận Thanh Khê,",0
": 1,25 tỷ","68 m
2","2,5m",1 lầu,2 phòng ngủ,"Đường Nguyễn Lương Bằng, Phường Hòa Hiệp Nam, Quận Liên Chiểu,",0
": 2,25 tỷ","94 m
2","3,5m",1 lầu,2 phòng ngủ,"Đường Lê Đình Kỵ, Phường Hòa An, Quận Cẩm Lệ,",0
": 1,95 tỷ","46 m
2","2,5m",3 lầu,2 phòng ngủ,"Đường Lê Duẩn, Phường Tân Chính, Quận Thanh Khê,",0
": 2,58 tỷ","40 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Nguyễn Chí Thanh, Phường Hải Châu I, Quận Hải Châu,",0
": 1,79 tỷ","45 m
2","2,5m",1 lầu,2 phòng ngủ,"Đường Lý Thái Tổ, Phường Vĩnh Trung, Quận Thanh Khê,",0
": 3,45 tỷ","90 m
2",5m5m,3 lầu,3 phòng ngủ,"Đường Nguyễn Minh Không, Phường Hòa Minh, Quận Liên Chiểu,",chỗ để xe
": 3,9 tỷ","60 m
2",3m,4 lầu,4 phòng ngủ,"Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê,",0
": 1,45 tỷ","30 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Điện Biên Phủ, Phường Thạc Gián, Quận Thanh Khê,",0
: 3 tỷ,"100 m
2","4,5m",2 lầu,3 phòng ngủ,"Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ,",chỗ để xe
: 17 tỷ,"194 m
2",10m,3 lầu,19 phòng ngủ,"Đường Thanh Thủy, Phường Thanh Bình, Quận Hải Châu,",chỗ để xe
": 5,35 tỷ","85 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Phần Lăng 14, Phường An Khê, Quận Thanh Khê,",chỗ để xe
": 5,4 tỷ","94 m
2","5,5m",2 lầu,8 phòng ngủ,"Đường Đào Công Chính, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 6,85 tỷ","50 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Huỳnh Thúc Kháng, Phường Nam Dương, Quận Hải Châu,",chỗ để xe
": 4,85 tỷ","100 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Đông Thạnh 3, Phường Hòa Phát, Quận Cẩm Lệ,",chỗ để xe
: 8 tỷ,"134 m
2",6m,1 lầu,3 phòng ngủ,"Đường Phan Kế Bính, Phường Thuận Phước, Quận Hải Châu,",chỗ để xe
": 12,5 tỷ","104 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
: 23 tỷ,"100 m
2",15m,4 lầu,7 phòng ngủ,"Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà,",chỗ để xe
": 5,65 tỷ","68 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Trần Huy Liệu, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 2,69 tỷ","84 m
2","3,5m",2 lầu,3 phòng ngủ,"Đường Trường Chinh, Phường Hòa An, Quận Cẩm Lệ,",chỗ để xe
