,area,price,num_of_stories,num_of_bedrooms,num_of_toilets
1239,132.6,8.2,2,3.0,2.0
1240,112.0,4.5,,3.0,
1241,45.0,2.69,2,2.0,2.0
1242,121.0,5.3,2,3.0,3.0
1243,93.7,12.5,7,20.0,21.0
1244,85.0,20.0,8,13.0,14.0
1245,98.3,8.9,3,3.0,3.0
1246,70.0,5.5,3,3.0,3.0
1247,84.0,6.8,3,3.0,3.0
1248,550.0,24.5,2,2.0,2.0
1249,56.0,,2,2.0,2.0
1250,180.0,36.0,4,6.0,6.0
1251,90.0,7.9,2,4.0,3.0
1252,92.5,,3,3.0,3.0
1253,200.0,,2,4.0,5.0
1254,112.0,3.5,2,4.0,
1255,200.0,,,,
1256,90.0,7.9,2,4.0,3.0
1257,92.5,,3,3.0,3.0
1258,200.0,,2,4.0,5.0
1259,112.0,3.5,2,4.0,
1260,200.0,,,,
1261,213.0,29.394,1,2.0,2.0
1262,92.9,,2,3.0,2.0
1263,138.0,,3,3.0,4.0
1264,213.0,29.82,1,2.0,2.0
1265,160.0,6.0,,,
1266,300.0,17.5,,,
1267,52.0,4.7,2,2.0,2.0
1268,300.0,17.0,,,
1269,198.0,14.3,3,5.0,5.0
1270,100.0,3.99,3,3.0,3.0
1271,108.0,18.5,5,8.0,4.0
1272,56.2,10.5,2,3.0,2.0
1273,95.0,7.65,3,3.0,3.0
1274,300.0,30.0,5,4.0,4.0
1275,79.0,18.6,4,4.0,4.0
1276,80.0,11.9,3,3.0,3.0
1277,167.0,7.65,2,3.0,2.0
1278,136.0,19.5,4,4.0,4.0
